,,,"Kingston [Population centre], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Other language spoken regularly at home","Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data",20,  115015,,   54720,,   60295,,13312865,, 6503875,, 6808990,
"Other language spoken regularly at home","  None",,  104490,,   49825,,   54660,,11071665,, 5436665,, 5635000,
"Other language spoken regularly at home","  English",,    3230,,    1560,,    1665,,  896170,,  437015,,  459155,
"Other language spoken regularly at home","  French",,    2625,,    1155,,    1470,,  243970,,  108390,,  135580,
"Other language spoken regularly at home","  Non-official language",,    4425,,    2055,,    2370,, 1056960,,  501315,,  555645,
"Other language spoken regularly at home","    Aboriginal",,      40,,      20,,      15,,   14315,,    6580,,    7735,
"Other language spoken regularly at home","    Non-Aboriginal",,    4390,,    2035,,    2350,, 1042645,,  494735,,  547910,
"Other language spoken regularly at home","  English and French",,      75,,      40,,      40,,    8150,,    3755,,    4395,
"Other language spoken regularly at home","  English and non-official language",,      50,,      30,,      25,,   19105,,    9370,,    9735,
"Other language spoken regularly at home","  French and non-official language",,     115,,      55,,      60,,   16435,,    7165,,    9270,
"Other language spoken regularly at home","  English; French and non-official language",,       0,,       0,,       0,,     415,,     205,,     215,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,   96840,,   45465,,   51375,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,   93505,,   43815,,   49685,,10556935,, 5115460,, 5441475,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   34531,,   39801,,   30717,,   33539,,   39889,,   28676,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,   93535,,   43815,,   49715,,10559805,, 5115825,, 5443975,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   31381,,   35704,,   28067,,   30641,,   35753,,   26585,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,   83745,,   39630,,   44110,, 9391800,, 4650130,, 4741675,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   32708,,   38986,,   27400,,   32871,,   39831,,   27012,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,   70025,,   30540,,   39485,, 7632575,, 3402810,, 4229770,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    6038,,    4222,,    6808,,    4206,,    2034,,    5463,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,   67550,,   33390,,   34155,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   30722,,   34552,,   27572,,   33946,,   39490,,   29413,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,   96830,,   45450,,   51375,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,   93450,,   43795,,   49650,,10556925,, 5114340,, 5442580,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   44990,,   51058,,   39637,,   47915,,   56780,,   39585,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,   93470,,   43800,,   49675,,10559935,, 5114725,, 5445210,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   37946,,   42457,,   33968,,   39318,,   45443,,   33564,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,   83765,,   39505,,   44255,, 9391645,, 4649230,, 4742415,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   43677,,   51131,,   37023,,   47890,,   57511,,   38459,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,   70110,,   30505,,   39600,, 7632220,, 3402745,, 4229475,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    7785,,    7089,,    8322,,    7346,,    6763,,    7815,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,   67675,,   33355,,   34315,, 7790680,, 3995700,, 3794985,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   40511,,   45792,,   35377,,   47369,,   55263,,   39057,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,   96825,,   45450,,   51375,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,   31180,,   16450,,   14725,, 3737385,, 2082480,, 1654900,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   53176,,   58935,,   48828,,   55121,,   60345,,   49713,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   61176,,   67015,,   54653,,   68628,,   76536,,   58676,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     86.9,,     90.1,,     83.3,,     88.9,,     92.1,,     84.7,
"Income of individuals in 2015","    Employment income (%)",29,     65.3,,     68.0,,     62.3,,     72.9,,     76.0,,     68.7,
"Income of individuals in 2015","  Government transfers (%)",30,     13.1,,     10.0,,     16.7,,     11.1,,      7.9,,     15.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,   96840,,   45460,,   51375,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without total income",,    3335,,    1650,,    1690,,  481500,,  227390,,  254115,
"Income of individuals in 2015","  With total income",,   93505,,   43815,,   49685,,10556940,, 5115460,, 5441475,
"Income of individuals in 2015","  Percentage with total income",,     96.6,,     96.4,,     96.7,,     95.6,,     95.7,,     95.5,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   12140,,    5430,,    6710,, 1615790,,  711105,,  904685,
"Income of individuals in 2015","    $10;000 to $19;999",,   16555,,    6630,,    9920,, 1829355,,  742710,, 1086645,
"Income of individuals in 2015","    $20;000 to $29;999",,   12970,,    5205,,    7765,, 1410760,,  589975,,  820785,
"Income of individuals in 2015","    $30;000 to $39;999",,   10860,,    4725,,    6135,, 1147510,,  519550,,  627955,
"Income of individuals in 2015","    $40;000 to $49;999",,    9570,,    4295,,    5265,, 1021880,,  489595,,  532285,
"Income of individuals in 2015","    $50;000 to $59;999",,    7535,,    3600,,    3930,,  809115,,  415950,,  393165,
"Income of individuals in 2015","    $60;000 to $69;999",,    6185,,    3435,,    2750,,  630635,,  348525,,  282110,
"Income of individuals in 2015","    $70;000 to $79;999",,    4565,,    2605,,    1960,,  479890,,  277725,,  202165,
"Income of individuals in 2015","    $80;000 to $89;999",,    3660,,    2080,,    1580,,  378185,,  222095,,  156095,
"Income of individuals in 2015","    $90;000 to $99;999",,    2695,,    1485,,    1205,,  324810,,  181815,,  142995,
"Income of individuals in 2015","    $100;000 and over",,    6775,,    4315,,    2460,,  909005,,  616420,,  292585,
"Income of individuals in 2015","      $100;000 to $149;999",,    4780,,    2930,,    1845,,  600995,,  394410,,  206590,
"Income of individuals in 2015","      $150;000 and over",,    1995,,    1390,,     610,,  308010,,  222010,,   86000,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,   96840,,   45465,,   51375,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without after-tax income",,    3310,,    1645,,    1660,,  478635,,  227025,,  251610,
"Income of individuals in 2015","  With after-tax income",,   93530,,   43815,,   49710,,10559805,, 5115825,, 5443980,
"Income of individuals in 2015","  Percentage with after-tax income",,     96.6,,     96.4,,     96.8,,     95.7,,     95.8,,     95.6,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   12655,,    5525,,    7135,, 1659280,,  722040,,  937235,
"Income of individuals in 2015","    $10;000 to $19;999",,   17325,,    6945,,   10375,, 1906875,,  777330,, 1129540,
"Income of individuals in 2015","    $20;000 to $29;999",,   14940,,    6130,,    8810,, 1623230,,  690290,,  932940,
"Income of individuals in 2015","    $30;000 to $39;999",,   12795,,    5670,,    7120,, 1377100,,  642645,,  734450,
"Income of individuals in 2015","    $40;000 to $49;999",,   10815,,    4990,,    5825,, 1166040,,  585490,,  580555,
"Income of individuals in 2015","    $50;000 to $59;999",,    8090,,    4425,,    3670,,  845305,,  464610,,  380700,
"Income of individuals in 2015","    $60;000 to $69;999",,    5885,,    3435,,    2450,,  604005,,  354015,,  249985,
"Income of individuals in 2015","    $70;000 to $79;999",,    4085,,    2260,,    1825,,  465485,,  268140,,  197345,
"Income of individuals in 2015","    $80;000 and over",,    6940,,    4440,,    2500,,  912490,,  611260,,  301230,
"Income of individuals in 2015","      $80;000 to $89;999",,    2425,,    1405,,    1025,,  299315,,  183410,,  115905,
"Income of individuals in 2015","      $90;000 to $99;999",,    1310,,     830,,     480,,  174110,,  116330,,   57785,
"Income of individuals in 2015","      $100;000 and over",,    3205,,    2205,,    1000,,  439070,,  311525,,  127540,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,   96840,,   45465,,   51375,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without employment income",,   29290,,   12070,,   17215,, 3247760,, 1344515,, 1903245,
"Income of individuals in 2015","  With employment income",,   67550,,   33390,,   34155,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","  Percentage with employment income",,     69.8,,     73.4,,     66.5,,     70.6,,     74.8,,     66.6,
"Income of individuals in 2015","    Under $5;000 (including loss)",,   10990,,    5325,,    5665,, 1094860,,  546920,,  547940,
"Income of individuals in 2015","    $5;000 to $9;999",,    5955,,    2615,,    3340,,  635305,,  281135,,  354165,
"Income of individuals in 2015","    $10;000 to $19;999",,    9055,,    4025,,    5025,, 1027910,,  464445,,  563465,
"Income of individuals in 2015","    $20;000 to $29;999",,    7235,,    3280,,    3955,,  827805,,  372185,,  455625,
"Income of individuals in 2015","    $30;000 to $39;999",,    6510,,    3010,,    3500,,  767840,,  351925,,  415910,
"Income of individuals in 2015","    $40;000 to $49;999",,    6190,,    2800,,    3385,,  709775,,  341320,,  368450,
"Income of individuals in 2015","    $50;000 to $59;999",,    4900,,    2375,,    2530,,  588220,,  310155,,  278065,
"Income of individuals in 2015","    $60;000 to $69;999",,    4290,,    2475,,    1820,,  465670,,  263430,,  202240,
"Income of individuals in 2015","    $70;000 to $79;999",,    3230,,    1895,,    1335,,  369085,,  218570,,  150515,
"Income of individuals in 2015","    $80;000 and over",,    9200,,    5595,,    3600,, 1304210,,  848245,,  455970,
"Income of individuals in 2015","      $80;000 to $89;999",,    2730,,    1535,,    1195,,  307660,,  182660,,  125005,
"Income of individuals in 2015","      $90;000 to $99;999",,    2090,,    1125,,     965,,  280530,,  156440,,  124090,
"Income of individuals in 2015","      $100;000 and over",,    4375,,    2930,,    1445,,  716015,,  509140,,  206875,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,   51355,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   65464,,,...,,...,   74287,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   57942,,,...,,...,   65285,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,   16890,,,...,,..., 1341300,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   36000,,,...,,...,   36900,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   32654,,,...,,...,   33219,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,   34460,,,...,,..., 3827875,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   84694,,,...,,...,   90967,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   74447,,,...,,...,   79528,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,   51335,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   81896,,,...,,...,   97856,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   69089,,,...,,...,   80322,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,   16870,,,...,,..., 1341115,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   45789,,,...,,...,   49571,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   38752,,,...,,...,   40830,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,   34470,,,...,,..., 3828060,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,   99566,,,...,,...,  114773,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   83935,,,...,,...,   94157,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,   51355,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,     795,,,...,,...,   86720,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     840,,,...,,...,   70245,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1835,,,...,,...,  134395,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    2115,,,...,,...,  185245,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    2360,,,...,,...,  200770,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2265,,,...,,...,  189450,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2280,,,...,,...,  202580,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    2315,,,...,,...,  207180,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2210,,,...,,...,  206605,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    2235,,,...,,...,  202015,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    4310,,,...,,...,  388820,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    3825,,,...,,...,  363580,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    3430,,,...,,...,  335770,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    3200,,,...,,...,  309105,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    2765,,,...,,...,  282740,,,...,,...
"Income of households in 2015","  $100;000 and over",,   14575,,,...,,..., 1803955,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    5155,,,...,,...,  560090,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    3415,,,...,,...,  394570,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,    3565,,,...,,...,  449885,,,...,,...
"Income of households in 2015","    $200;000 and over",,    2440,,,...,,...,  399410,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,   51355,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,     825,,,...,,...,   92220,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     855,,,...,,...,   71480,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1855,,,...,,...,  136550,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    2220,,,...,,...,  192920,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    2625,,,...,,...,  222605,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2495,,,...,,...,  211440,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2710,,,...,,...,  232755,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    2680,,,...,,...,  244335,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2750,,,...,,...,  247645,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    2680,,,...,,...,  241965,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    4925,,,...,,...,  463170,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    4375,,,...,,...,  422695,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    3865,,,...,,...,  388720,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    3315,,,...,,...,  342330,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    2700,,,...,,...,  290720,,,...,,...
"Income of households in 2015","  $100;000 and over",,   10470,,,...,,..., 1367630,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    4660,,,...,,...,  539915,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    2725,,,...,,...,  334420,,,...,,...
"Income of households in 2015","    $150;000 and over",,    3085,,,...,,...,  493295,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,   31895,,,...,,..., 3689580,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   86388,,,...,,...,   91089,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   75564,,,...,,...,   79531,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      2.8,,,...,,...,      3.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,   13265,,,...,,..., 1280890,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   83300,,,...,,...,   81459,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   72827,,,...,,...,   71237,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,   11920,,,...,,..., 1716115,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  113495,,,...,,...,  115381,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   97379,,,...,,...,   99205,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      3.9,,,...,,...,      4.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,    5825,,,...,,...,  584180,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   51742,,,...,,...,   54363,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   47970,,,...,,...,   50317,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.6,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,   31985,,,...,,..., 3689080,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,  101708,,,...,,...,  115328,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   85370,,,...,,...,   94410,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,   13320,,,...,,..., 1280580,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,   95083,,,...,,...,  104425,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   79697,,,...,,...,   84952,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,   11845,,,...,,..., 1717295,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  130846,,,...,,...,  140590,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  108493,,,...,,...,  114144,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,    5860,,,...,,...,  581945,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   61383,,,...,,...,   67748,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   53893,,,...,,...,   58742,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,   24415,,   10735,,   13685,, 1818815,,  867175,,  951640,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   29423,,   28657,,   29948,,   32097,,   33925,,   30753,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   27309,,   26534,,   27895,,   29417,,   30678,,   28442,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,   24100,,   10605,,   13500,, 1814575,,  864020,,  950555,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   39466,,   38670,,   40091,,   44298,,   46765,,   42057,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   33868,,   32992,,   34555,,   36874,,   38228,,   35644,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,  114440,,   54540,,   59900,,13242160,, 6472205,, 6769955,
"Income of economic families in 2015","  In the bottom half of the distribution",,   57810,,   26740,,   31065,, 6335170,, 3016275,, 3318895,
"Income of economic families in 2015","    In the bottom decile",,   13725,,    6410,,    7310,, 1346645,,  651310,,  695335,
"Income of economic families in 2015","    In the second decile",,   11395,,    5040,,    6355,, 1280675,,  581380,,  699290,
"Income of economic families in 2015","    In the third decile",,   10615,,    4875,,    5745,, 1237415,,  583840,,  653575,
"Income of economic families in 2015","    In the fourth decile",,   11105,,    5195,,    5910,, 1223510,,  589740,,  633770,
"Income of economic families in 2015","    In the fifth decile",,   10965,,    5215,,    5750,, 1246925,,  610000,,  636930,
"Income of economic families in 2015","  In the top half of the distribution",,   56640,,   27800,,   28835,, 6906990,, 3455930,, 3451060,
"Income of economic families in 2015","    In the sixth decile",,   11370,,    5440,,    5935,, 1279095,,  629635,,  649465,
"Income of economic families in 2015","    In the seventh decile",,   11550,,    5655,,    5900,, 1321220,,  655840,,  665375,
"Income of economic families in 2015","    In the eighth decile",,   12155,,    6020,,    6130,, 1382795,,  691630,,  691165,
"Income of economic families in 2015","    In the ninth decile",,   11875,,    5840,,    6035,, 1464415,,  736030,,  728385,
"Income of economic families in 2015","    In the top decile",,    9675,,    4845,,    4835,, 1459465,,  742795,,  716670,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,  114440,,   54540,,   59905,,13184055,, 6442930,, 6741130,
"Low income in 2015","  0 to 17 years",,   21120,,   10885,,   10235,, 2656535,, 1361905,, 1294630,
"Low income in 2015","    0 to 5 years",,    6990,,    3645,,    3345,,  835000,,  428025,,  406975,
"Low income in 2015","  18 to 64 years",,   72645,,   34665,,   37975,, 8418960,, 4110615,, 4308345,
"Low income in 2015","  65 years and over",,   20675,,    8985,,   11695,, 2108560,,  970405,, 1138155,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,   17730,,    7940,,    9785,, 1898975,,  886530,, 1012445,
"Low income in 2015","  0 to 17 years",,    3825,,    1940,,    1890,,  489905,,  251830,,  238080,
"Low income in 2015","    0 to 5 years",,    1465,,     740,,     725,,  165140,,   84825,,   80310,
"Low income in 2015","  18 to 64 years",,   11905,,    5355,,    6550,, 1155315,,  538535,,  616780,
"Low income in 2015","  65 years and over",,    1995,,     640,,    1355,,  253755,,   96170,,  157585,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     15.5,,     14.6,,     16.3,,     14.4,,     13.8,,     15.0,
"Low income in 2015","  0 to 17 years (%)",,     18.1,,     17.8,,     18.5,,     18.4,,     18.5,,     18.4,
"Low income in 2015","    0 to 5 years (%)",,     21.0,,     20.3,,     21.7,,     19.8,,     19.8,,     19.7,
"Low income in 2015","  18 to 64 years (%)",,     16.4,,     15.4,,     17.2,,     13.7,,     13.1,,     14.3,
"Low income in 2015","  65 years and over (%)",,      9.6,,      7.1,,     11.6,,     12.0,,      9.9,,     13.8,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,   11550,,    5470,,    6080,, 1298590,,  627935,,  670650,
"Low income in 2015","  0 to 17 years",,    1935,,     970,,     965,,  304390,,  156575,,  147815,
"Low income in 2015","    0 to 5 years",,     755,,     370,,     390,,  102750,,   52810,,   49935,
"Low income in 2015","  18 to 64 years",,    9185,,    4320,,    4865,,  887640,,  430545,,  457095,
"Low income in 2015","  65 years and over",,     425,,     180,,     245,,  106555,,   40815,,   65740,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,     10.1,,     10.0,,     10.1,,      9.8,,      9.7,,      9.9,
"Low income in 2015","  0 to 17 years (%)",,      9.2,,      8.9,,      9.4,,     11.5,,     11.5,,     11.4,
"Low income in 2015","    0 to 5 years (%)",,     10.8,,     10.2,,     11.7,,     12.3,,     12.3,,     12.3,
"Low income in 2015","  18 to 64 years (%)",,     12.6,,     12.5,,     12.8,,     10.5,,     10.5,,     10.6,
"Low income in 2015","  65 years and over (%)",,      2.1,,      2.0,,      2.1,,      5.1,,      4.2,,      5.8,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44,  114425,,   54515,,   59905,,13242160,, 6472240,, 6769925,
"Knowledge of languages","  Official languages",,  113790,,   54235,,   59555,,12918075,, 6342930,, 6575145,
"Knowledge of languages","    English",,  113525,,   54095,,   59430,,12879045,, 6326225,, 6552825,
"Knowledge of languages","    French",,   15495,,    7100,,    8395,, 1521020,,  677505,,  843510,
"Knowledge of languages","  Non-official languages",,   16480,,    7655,,    8830,, 4431270,, 2115510,, 2315760,
"Knowledge of languages","    Aboriginal languages",,      70,,      10,,      60,,   33855,,   15815,,   18035,
"Knowledge of languages","      Algonquian languages",,      50,,      10,,      40,,   30630,,   14505,,   16125,
"Knowledge of languages","        Blackfoot",,       0,,       0,,       0,,      15,,      15,,       0,
"Knowledge of languages","        Cree-Montagnais languages",,      30,,      10,,      25,,    6560,,    3160,,    3395,
"Knowledge of languages","          Atikamekw",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","          Montagnais (Innu)",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Moose Cree",,      10,,       0,,      10,,     145,,      70,,      75,
"Knowledge of languages","          Naskapi",,       0,,       0,,       0,,      25,,      10,,      10,
"Knowledge of languages","          Northern East Cree",,       0,,       0,,       0,,      65,,      25,,      45,
"Knowledge of languages","          Plains Cree",,       0,,       0,,       0,,     105,,      50,,      50,
"Knowledge of languages","          Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Swampy Cree",,      15,,      10,,      10,,     605,,     255,,     350,
"Knowledge of languages","          Woods Cree",,       0,,       0,,       0,,      45,,      25,,      25,
"Knowledge of languages","          Cree; n.o.s.",,       0,,       0,,      10,,    5620,,    2760,,    2865,
"Knowledge of languages","        Eastern Algonquian languages",,      10,,       0,,       0,,     180,,      95,,      85,
"Knowledge of languages","          Malecite",,       0,,       0,,       0,,      20,,      20,,       0,
"Knowledge of languages","          Mi'kmaq",,      10,,       0,,       0,,     160,,      75,,      85,
"Knowledge of languages","        Ojibway-Potawatomi languages",,      15,,      10,,      10,,   23980,,   11285,,   12690,
"Knowledge of languages","          Algonquin",,       0,,       0,,       0,,     205,,      95,,     105,
"Knowledge of languages","          Ojibway",,      15,,      10,,      10,,   16220,,    7600,,    8630,
"Knowledge of languages","          Oji-Cree",,       0,,       0,,       0,,    7515,,    3585,,    3935,
